Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-12-29,78.647,79.576,78.647,79.415,1112800,0.0,0.0
2021-12-30,79.54,79.898,79.138,79.549,921200,0.0,0.0
2021-12-31,79.451,79.907,78.996,79.505,726100,0.0,0.0
2022-01-03,79.719,79.719,78.058,79.121,1134800,0.0,0.0
2022-01-04,79.103,79.898,78.603,78.701,996900,0.0,0.0
2022-01-05,78.701,79.576,78.415,78.897,1135800,0.0,0.0
2022-01-06,78.781,79.362,78.308,78.513,865500,0.0,0.0
2022-01-07,78.272,79.237,77.95,78.817,822800,0.0,0.0
2022-01-10,78.871,79.049,77.611,78.165,1321100,0.0,0.0
2022-01-11,78.156,78.585,77.129,77.683,1591700,0.0,0.0
2022-01-12,77.566,78.576,77.147,78.343,1057100,0.0,0.0
2022-01-13,78.415,79.942,78.12,79.371,1739500,0.0,0.0
2022-01-14,79.13,79.496,78.451,78.683,1952300,0.0,0.0
2022-01-18,78.317,78.585,77.218,78.263,1202700,0.0,0.0
2022-01-19,78.46,78.897,77.915,78.281,929900,0.0,0.0
2022-01-20,78.477,79.549,78.308,78.495,956200,0.0,0.0
2022-01-21,79.13,79.46,78.12,78.352,1157900,0.0,0.0
2022-01-24,78.12,78.719,75.289,77.173,1937900,0.0,0.0
2022-01-25,76.495,77.674,76.209,76.798,1211000,0.0,0.0
2022-01-26,76.897,77.683,75.726,76.441,1481500,0.0,0.0
2022-01-27,77.075,77.879,76.611,77.102,1865300,0.0,0.0
2022-01-28,76.959,78.29,76.298,78.29,2766500,0.0,0.0
2022-01-31,77.799,79.344,77.531,79.263,2207800,0.0,0.0
2022-02-01,79.156,79.594,77.674,78.236,2278300,0.0,0.0
2022-02-02,78.201,79.308,78.12,79.103,1292700,0.0,0.0
2022-02-03,79.299,79.665,78.504,78.611,917200,0.0,0.0
2022-02-04,77.968,78.54,77.066,77.602,807100,0.0,0.0
2022-02-07,77.415,78.272,77.173,78.031,1277200,0.0,0.0
2022-02-08,78.335,78.513,77.852,78.058,855300,0.0,0.0
2022-02-09,78.531,78.817,78.031,78.343,975800,0.0,0.0
2022-02-10,77.683,78.084,76.253,76.423,1110000,0.0,0.0
2022-02-11,76.629,77.093,76.173,76.566,1349800,0.0,0.0
2022-02-14,77.004,77.227,75.155,76.039,1324600,0.0,0.0
2022-02-15,76.495,76.861,74.994,75.369,958400,0.0,0.0
2022-02-16,75.396,75.816,74.619,75.45,803300,0.0,0.0
2022-02-17,75.342,75.959,74.628,75.485,1055200,0.0,0.0
2022-02-18,74.619,76.307,74.583,75.628,1379500,0.0,0.0
2022-02-22,76.182,76.646,75.012,75.851,970400,0.0,0.0
2022-02-23,75.843,76.11,74.717,74.815,876000,0.0,0.0
2022-02-24,74.396,74.744,73.038,74.36,1259700,0.0,0.0
2022-02-25,75.119,76.87,75.021,76.843,1334000,0.0,0.0
2022-02-28,76.209,76.977,75.941,76.771,1519200,0.0,0.0
2022-03-01,76.727,77.156,75.039,75.735,1213800,0.0,0.0
2022-03-02,75.789,77.039,75.682,76.807,1297000,0.0,0.0
2022-03-03,76.941,78.29,76.941,77.977,908700,0.0,0.0
2022-03-04,77.736,80.032,77.549,79.96,1158200,0.0,0.0
2022-03-07,80.014,80.255,78.942,80.005,1787800,0.0,0.0
2022-03-08,80.445,80.58,78.881,78.899,1616500,0.59,0.0
2022-03-09,79.645,79.645,77.883,77.991,1930900,0.0,0.0
2022-03-10,77.703,78.863,77.532,78.719,983000,0.0,0.0
2022-03-11,78.557,79.6,78.458,78.665,933100,0.0,0.0
2022-03-14,79.259,79.663,78.18,78.566,791700,0.0,0.0
2022-03-15,79.348,79.573,78.71,79.537,1262100,0.0,0.0
2022-03-16,79.456,79.708,78.108,79.061,1189400,0.0,0.0
2022-03-17,79.277,80.149,79.016,79.672,1319700,0.0,0.0
2022-03-18,79.636,80.041,78.809,78.989,2223300,0.0,0.0
2022-03-21,79.187,80.598,79.187,80.436,1362200,0.0,0.0
2022-03-22,80.769,80.769,79.483,79.645,1149500,0.0,0.0
2022-03-23,79.825,80.553,79.348,80.14,1530000,0.0,0.0
2022-03-24,80.059,80.94,79.879,80.517,893100,0.0,0.0
2022-03-25,80.913,81.983,80.526,81.623,1675500,0.0,0.0
