Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-05-02,482.085,484.634,465.598,472.969,3184300,0.0,0.0
2022-05-03,472.95,477.093,469.505,471.525,2763400,0.0,0.0
2022-05-04,471.411,481.104,465.362,479.075,4002600,0.0,0.0
2022-05-05,478.688,481.953,461.719,466.9,3359700,0.0,0.0
2022-05-06,457.736,473.365,457.727,471.525,3260300,0.0,0.0
2022-05-09,462.823,466.815,457.189,459.067,3862700,0.0,0.0
2022-05-10,466.041,468.439,454.065,460.568,4275500,0.0,0.0
2022-05-11,457.151,472.374,457.151,458.812,3936300,0.0,0.0
2022-05-12,458.765,459.511,444.91,451.875,3997600,0.0,0.0
2022-05-13,453.933,459.614,449.054,458.104,2453400,0.0,0.0
2022-05-16,458.114,467.693,456.925,461.709,2338800,0.0,0.0
2022-05-17,466.221,466.9,460.992,464.833,2289000,0.0,0.0
2022-05-18,460.803,461.7,442.022,444.873,3240500,0.0,0.0
2022-05-19,438.21,454.499,437.275,451.639,3813800,0.0,0.0
2022-05-20,454.31,460.058,445.75,458.416,3068200,0.0,0.0
2022-05-23,458.944,467.863,458.944,464.409,2279800,0.0,0.0
2022-05-24,463.191,470.071,461.181,469.58,2658100,0.0,0.0
2022-05-25,470.486,474.063,463.635,470.081,3161600,0.0,0.0
2022-05-26,473.525,478.735,471.326,473.988,2705800,0.0,0.0
2022-05-27,463.389,478.593,461.87,478.593,3349100,0.0,0.0
2022-05-31,475.3,475.762,467.787,468.844,4003100,0.0,0.0
2022-06-01,470.298,473.186,460.35,464.852,1765900,0.0,0.0
2022-06-02,466.221,468.25,455.811,464.579,2093500,0.0,0.0
2022-06-03,460.87,464.022,457.632,458.302,1756900,0.0,0.0
2022-06-06,461.908,465.872,458.944,462.616,1781500,0.0,0.0
2022-06-07,461.974,469.628,459.728,469.146,2341900,0.0,0.0
2022-06-08,466.221,469.901,461.077,465.777,3268100,0.0,0.0
2022-06-09,465.164,468.542,460.19,461.908,3148800,0.0,0.0
2022-06-10,457.538,462.597,453.886,457.378,2599900,0.0,0.0
2022-06-13,448.412,454.273,440.984,443.287,3764600,0.0,0.0
2022-06-14,441.211,442.796,431.698,435.784,3814200,0.0,0.0
2022-06-15,438.096,442.645,430.829,438.219,2550700,0.0,0.0
2022-06-16,429.43,433.607,426.854,431.978,3135600,1.65,0.0
2022-06-17,426.92,437.064,425.925,428.161,5277400,0.0,0.0
2022-06-21,433.607,459.473,432.934,454.927,5726800,0.0,0.0
2022-06-22,450.57,469.702,449.452,463.792,5061000,0.0,0.0
2022-06-23,468.783,476.957,465.951,473.386,4687700,0.0,0.0
2022-06-24,473.036,473.339,460.837,469.437,15861100,0.0,0.0
2022-06-27,466.775,484.828,466.538,478.927,3907100,0.0,0.0
2022-06-28,485.007,491.192,478.377,481.56,4978200,0.0,0.0
2022-06-29,481.948,491.277,479.258,488.446,3823400,0.0,0.0
2022-06-30,486.4,489.023,482.772,486.475,3568900,0.0,0.0
2022-07-01,485.235,490.169,475.754,490.046,2426600,0.0,0.0
2022-07-05,480.802,483.985,466.226,478.529,3029600,0.0,0.0
2022-07-06,478.908,490.056,477.639,488.048,2506700,0.0,0.0
2022-07-07,488.01,489.951,485.15,487.186,2385400,0.0,0.0
2022-07-08,485.225,500.436,483.994,491.211,3092100,0.0,0.0
2022-07-11,487.64,493.901,484.752,489.62,1743600,0.0,0.0
2022-07-12,486.116,491.694,483.625,487.224,2706500,0.0,0.0
2022-07-13,481.209,484.799,474.693,474.741,3467700,0.0,0.0
2022-07-14,468.83,479.145,466.254,475.868,3765500,0.0,0.0
2022-07-15,498.248,503.865,488.199,501.743,5742500,0.0,0.0
2022-07-18,502.927,504.026,491.325,491.912,3212000,0.0,0.0
2022-07-19,493.541,505.617,493.068,505.248,2953500,0.0,0.0
2022-07-20,505.248,505.816,488.465,492.007,4327500,0.0,0.0
2022-07-21,491.931,494.848,484.117,494.839,2667600,0.0,0.0
2022-07-22,498.192,499.707,490.993,493.844,1850300,0.0,0.0
2022-07-25,498.277,504.717,496.506,501.478,2337200,0.0,0.0
2022-07-26,505.579,509.216,502.956,503.486,2637800,0.0,0.0
2022-07-27,505.333,509.425,500.124,506.346,2268100,0.0,0.0
2022-07-28,509.074,515.562,503.628,512.863,2344500,0.0,0.0
2022-07-29,511.461,515.098,508.316,513.668,2945700,0.0,0.0
2022-08-01,513.601,514.908,502.927,507.076,2335000,0.0,0.0
2022-08-02,509.131,511.953,503.609,507.151,2114200,0.0,0.0
2022-08-03,508.856,514.88,507.369,512.067,1802900,0.0,0.0
2022-08-04,510.779,511.859,504.594,505.532,2368000,0.0,0.0
2022-08-05,501.98,507.189,499.669,506.773,2373400,0.0,0.0
2022-08-08,511.366,512.682,505.219,508.231,1656400,0.0,0.0
2022-08-09,511.451,516.888,508.023,508.856,2147200,0.0,0.0
2022-08-10,511.698,513.327,505.589,509.292,2291400,0.0,0.0
2022-08-11,509.784,510.154,501.668,504.689,3006200,0.0,0.0
2022-08-12,507.293,515.619,506.195,514.956,1981000,0.0,0.0
2022-08-15,513.033,518.28,510.088,515.846,1447300,0.0,0.0
2022-08-16,516.386,518.498,513.715,517.248,1773000,0.0,0.0
2022-08-17,516.414,518.83,512.938,516.187,1471700,0.0,0.0
2022-08-18,516.197,519.152,513.175,516.395,1486400,0.0,0.0
2022-08-19,516.661,523.887,516.017,519.332,2258000,0.0,0.0
2022-08-22,512.768,520.468,512.73,515.78,1672900,0.0,0.0
2022-08-23,514.567,514.567,505.02,507.473,2039600,0.0,0.0
2022-08-24,508.307,511.319,506.735,508.099,1761200,0.0,0.0
2022-08-25,506.725,513.365,503.164,512.938,1965800,0.0,0.0
2022-08-26,513.592,514.473,500.294,501.27,1906700,0.0,0.0
2022-08-29,498.192,504.727,495.227,501.762,1594000,0.0,0.0
2022-08-30,502.368,503.012,494.204,495.199,2013400,0.0,0.0
2022-08-31,493.285,499.233,491.713,491.874,2891300,0.0,0.0
2022-09-01,491.874,496.544,487.858,496.297,2085300,0.0,0.0
2022-09-02,501.62,501.781,486.646,489.052,1944200,0.0,0.0
2022-09-06,492.442,499.565,489.592,490.311,2711900,0.0,0.0
2022-09-07,489.667,495.824,487.47,494.1,2504400,0.0,0.0
2022-09-08,493.409,500.55,491.382,499.622,1557500,0.0,0.0
