Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-19,95.703,97.026,94.531,94.575,501500,0.0,0.0
2023-01-20,94.628,95.658,93.625,95.578,650000,0.0,0.0
2023-01-23,95.685,97.336,95.179,97.132,288000,0.0,0.0
2023-01-24,97.097,98.109,96.813,97.913,380600,0.0,0.0
2023-01-25,97.345,98.091,96.466,98.091,390900,0.0,0.0
2023-01-26,98.952,98.952,97.248,97.887,405200,0.0,0.0
2023-01-27,97.878,99.281,97.816,98.89,660200,0.0,0.0
2023-01-30,98.881,98.979,97.541,97.638,468700,0.0,0.0
2023-01-31,97.612,99.423,96.653,99.023,2776400,0.0,0.0
2023-02-01,98.819,99.938,96.857,99.476,809300,0.0,0.0
2023-02-02,100.471,102.175,100.178,101.287,655700,0.0,0.0
2023-02-03,100.249,100.932,98.89,100.364,630100,0.0,0.0
2023-02-06,99.441,99.885,98.056,99.13,367500,0.0,0.0
2023-02-07,98.517,99.032,96.999,97.718,1177700,0.0,0.0
2023-02-08,97.727,97.94,96.076,96.946,545800,0.0,0.0
2023-02-09,99.476,99.84,96.262,96.449,978100,0.0,0.0
2023-02-10,95.96,97.993,95.818,97.638,511800,0.0,0.0
2023-02-13,97.931,99.618,97.487,99.618,514900,0.0,0.0
2023-02-14,99.325,99.956,97.47,97.771,445700,0.0,0.0
2023-02-15,96.777,97.736,96.591,97.567,390700,0.0,0.0
2023-02-16,96.138,97.816,96.111,97.505,385800,0.0,0.0
2023-02-17,97.541,97.541,95.969,96.857,409700,0.0,0.0
2023-02-21,96.031,96.795,94.078,94.282,370200,0.0,0.0
2023-02-22,94.762,95.365,93.607,94.167,297800,0.0,0.0
2023-02-23,94.735,95.818,93.98,95.259,379300,0.0,0.0
2023-02-24,94.149,95.339,93.936,95.019,336400,0.0,0.0
2023-02-27,96.067,96.928,94.398,94.753,447000,0.0,0.0
2023-02-28,94.824,96.005,94.717,94.806,697100,0.0,0.0
2023-03-01,93.989,94.788,92.755,94.673,498500,0.0,0.0
2023-03-02,94.14,94.522,93.581,94.309,290600,0.0,0.0
2023-03-03,95.055,95.498,94.557,95.223,451400,0.0,0.0
2023-03-06,95.561,96.102,94.797,95.143,336200,0.0,0.0
2023-03-07,95.019,95.108,91.45,92.178,435300,0.0,0.0
2023-03-08,92.24,93.536,91.965,93.181,519100,0.0,0.0
2023-03-09,93.155,93.474,90.766,90.926,449000,0.0,0.0
2023-03-10,90.791,91.016,86.305,86.592,792700,1.08,0.0
2023-03-13,85.677,88.27,85.677,86.825,395100,0.0,0.0
2023-03-14,88.566,89.786,87.112,87.92,414900,0.0,0.0
2023-03-15,86.269,87.382,85.407,87.211,669600,0.0,0.0
2023-03-16,86.412,86.727,84.322,85.389,956300,0.0,0.0
2023-03-17,84.842,84.842,82.06,82.446,1435800,0.0,0.0
2023-03-20,82.877,85.057,82.5,84.573,839100,0.0,0.0
2023-03-21,85.524,86.332,84.573,85.013,571800,0.0,0.0
2023-03-22,84.42,85.398,81.684,81.764,575400,0.0,0.0
2023-03-23,82.007,83.613,81.217,81.8,438300,0.0,0.0
2023-03-24,81.208,83.021,81.154,83.012,683200,0.0,0.0
2023-03-27,84.106,84.16,82.751,83.021,539100,0.0,0.0
2023-03-28,82.357,83.72,82.258,83.326,300300,0.0,0.0
2023-03-29,84.555,84.842,83.514,84.196,565000,0.0,0.0
2023-03-30,85.434,86.054,85.192,85.641,461300,0.0,0.0
2023-03-31,86.206,88.817,86.206,88.683,780000,0.0,0.0
2023-04-03,88.754,90.334,88.064,88.593,599700,0.0,0.0
2023-04-04,89.015,89.266,88.001,88.413,639400,0.0,0.0
2023-04-05,87.938,88.189,87.247,87.597,354600,0.0,0.0
2023-04-06,87.66,87.839,86.861,87.705,292600,0.0,0.0
2023-04-10,87.166,87.902,86.412,87.723,272400,0.0,0.0
2023-04-11,88.019,89.024,87.552,88.279,416700,0.0,0.0
2023-04-12,89.347,89.347,86.915,87.067,337500,0.0,0.0
2023-04-13,86.861,87.435,85.614,87.139,318300,0.0,0.0
2023-04-14,87.615,88.028,85.739,86.475,306700,0.0,0.0
2023-04-17,86.574,87.929,86.574,87.821,584000,0.0,0.0
2023-04-18,87.696,88.216,87.364,87.92,357300,0.0,0.0
2023-04-19,87.175,88.279,86.816,87.92,399700,0.0,0.0
2023-04-20,87.525,87.803,86.628,87.076,467000,0.0,0.0
2023-04-21,87.175,87.732,86.0,87.292,323500,0.0,0.0
2023-04-24,87.516,87.516,85.695,86.125,352100,0.0,0.0
2023-04-25,85.722,86.771,85.425,86.018,733200,0.0,0.0
2023-04-26,85.964,86.386,84.788,84.95,471200,0.0,0.0
2023-04-27,85.075,87.229,85.075,86.816,368700,0.0,0.0
2023-04-28,86.924,89.158,86.816,88.737,1221600,0.0,0.0
2023-05-01,88.539,89.069,87.642,87.651,345500,0.0,0.0
2023-05-02,87.112,87.265,85.398,86.323,429600,0.0,0.0
2023-05-03,86.753,87.884,86.089,86.269,361400,0.0,0.0
2023-05-04,85.946,86.834,85.165,86.529,533700,0.0,0.0
2023-05-05,85.031,87.211,85.031,86.448,647400,0.0,0.0
2023-05-08,86.475,86.628,84.411,84.69,635400,0.0,0.0
2023-05-09,83.972,84.017,82.545,83.173,465000,0.0,0.0
2023-05-10,84.097,84.295,82.653,82.913,458600,0.0,0.0
2023-05-11,82.249,82.267,81.208,81.522,799600,0.0,0.0
2023-05-12,81.54,82.078,81.037,82.025,440800,0.0,0.0
2023-05-15,82.419,83.254,81.701,82.509,421800,0.0,0.0
2023-05-16,82.59,82.59,79.306,79.315,479500,0.0,0.0
2023-05-17,79.754,81.217,79.045,81.172,470200,0.0,0.0
2023-05-18,80.688,81.073,79.656,80.104,355700,0.0,0.0
2023-05-19,80.759,80.903,79.072,79.629,490700,0.0,0.0
2023-05-22,80.015,81.235,79.745,80.939,408100,0.0,0.0
2023-05-23,80.876,82.105,80.068,80.203,388800,0.0,0.0
2023-05-24,79.045,79.799,78.372,78.453,438600,0.0,0.0
2023-05-25,78.292,78.588,76.515,77.098,415300,0.0,0.0
2023-05-26,77.062,78.202,76.667,78.121,331200,0.0,0.0
2023-05-30,78.417,79.018,78.058,78.328,447200,0.0,0.0
2023-05-31,78.301,79.521,78.013,79.144,771700,0.0,0.0
2023-06-01,79.261,79.467,78.085,78.74,377800,0.0,0.0
2023-06-02,79.898,82.087,79.772,81.782,515900,0.0,0.0
2023-06-05,81.54,82.419,81.002,81.208,407600,0.0,0.0
2023-06-06,81.441,83.945,81.441,83.613,902600,0.0,0.0
2023-06-07,84.205,87.624,83.685,87.22,877300,0.0,0.0
2023-06-08,86.7,87.023,85.425,86.242,393000,0.0,0.0
2023-06-09,86.502,86.502,85.784,86.269,264900,0.0,0.0
2023-06-12,86.269,86.951,84.501,85.551,701600,0.0,0.0
2023-06-13,85.515,86.682,84.851,85.031,723600,0.0,0.0
2023-06-14,85.551,85.955,84.277,84.627,596200,0.0,0.0
2023-06-15,84.411,85.201,83.694,85.165,458200,0.0,0.0
2023-06-16,85.784,86.206,85.327,86.08,672300,0.0,0.0
2023-06-20,85.865,85.991,83.694,84.573,604400,0.0,0.0
2023-06-21,84.237,84.446,83.284,83.847,411600,1.08,0.0
2023-06-22,84.019,84.019,82.004,82.885,331500,0.0,0.0
2023-06-23,82.349,82.957,81.514,81.786,512500,0.0,0.0
